utilization.gpu [%], utilization.memory [%]
1 %, 0 %
1 %, 0 %
6 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
9 %, 0 %
9 %, 0 %
7 %, 0 %
10 %, 0 %
10 %, 0 %
9 %, 0 %
9 %, 0 %
5 %, 0 %
2 %, 0 %
2 %, 0 %
7 %, 0 %
7 %, 0 %
62 %, 18 %
25 %, 7 %
25 %, 7 %
69 %, 20 %
69 %, 20 %
72 %, 16 %
86 %, 23 %
86 %, 23 %
80 %, 28 %
80 %, 28 %
60 %, 19 %
0 %, 0 %
0 %, 0 %
78 %, 21 %
78 %, 21 %
82 %, 23 %
24 %, 4 %
24 %, 4 %
4 %, 0 %
4 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
31 %, 7 %
83 %, 27 %
83 %, 27 %
78 %, 16 %
78 %, 16 %
78 %, 20 %
83 %, 27 %
83 %, 27 %
86 %, 27 %
86 %, 27 %
22 %, 6 %
28 %, 7 %
28 %, 7 %
85 %, 23 %
85 %, 23 %
71 %, 17 %
6 %, 0 %
6 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
