utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 0 MiB
2 %, 0 %, 10 MiB
2 %, 0 %, 10 MiB
2 %, 0 %, 10 MiB
2 %, 0 %, 10 MiB
2 %, 0 %, 10 MiB
2 %, 0 %, 10 MiB
2 %, 0 %, 10 MiB
2 %, 0 %, 10 MiB
2 %, 0 %, 10 MiB
2 %, 0 %, 10 MiB
2 %, 0 %, 10 MiB
2 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
5 %, 0 %, 10 MiB
